title,overview,posterpath,popularity,release_date,vote_average,id
Астрал 5: Красная дверь,"Спустя десять лет после событий первых двух фильмов Джош Ламберт (Патрик Уилсон) отправляется на восток, чтобы отпустить своего сына Далтона (Тай Симпкинс) в идиллический университет, увитый плющом. Однако мечта Далтона о колледже превращается в кошмар, когда подавленные демоны его прошлого внезапно возвращаются и преследуют их обоих.",/oZ0tEpNpMs4rLenT7TI50YyWwkQ.jpg,2537.523,2023-07-05,6.9,614479
Немая ярость,"В ходе бандитской разборки случайная пуля лишает счастливую семью маленького сына, а прикрывавшего его отца – голоса. Спустя год усиленной подготовки папа мальчика становится кошмаром для врагов в любой перестрелке, погоне или рукопашной. В годовщину трагедии он намерен разыграть безостановочную симфонию возмездия всем, кто встанет у него на пути. Теперь его действия скажут всё громче любых слов.",/viGi2iY7XVMHmIu7NoWSFpeUvte.jpg,949.959,2023-11-30,5.9,891699
